period,metric,value,source_url
2025,Fatalities,1538,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
2025,Killed or seriously injured,29918,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
2025,All casualties,127883,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
2025,Fatalities YoY change %,-4.0,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
2025,KSI YoY change %,4.0,https://www.gov.uk/government/statistical-data-sets/road-safety-open-data
