metric,value,unit,period,source
Retail volume MoM,-0.5,percent,July 2026,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/datasets/retailsales
Retail volume YoY,1.6,percent,July 2026,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/datasets/retailsales
Three-month change,1.1,percent,July 2026,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/datasets/retailsales
Online sales value YoY,6.5,percent,July 2026,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/datasets/retailsales
Online sales share,28.3,percent,July 2026,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/datasets/retailsales
