period,metric,value,source_url
2026-07,Retail volume MoM %,-0.5,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/july2026
2026-07,Retail volume YoY %,1.6,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/july2026
2026-07,3-month volume change %,1.1,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/july2026
2026-07,Online spending value YoY %,6.5,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/july2026
2026-07,Online share of sales %,28.3,https://www.ons.gov.uk/businessindustryandtrade/retailindustry/bulletins/retailsales/july2026
