period,metric,value,source_url
2025,Renewable generation TWh,152.5,https://assets.publishing.service.gov.uk/media/69cd13235cf899414a0bc616/Energy_Trends_March_2026.pdf
2025,Renewable share %,52.5,https://assets.publishing.service.gov.uk/media/69cd13235cf899414a0bc616/Energy_Trends_March_2026.pdf
2025,Wind generation TWh,87.1,https://assets.publishing.service.gov.uk/media/69cd13235cf899414a0bc616/Energy_Trends_March_2026.pdf
2025,Solar generation TWh,20.0,https://assets.publishing.service.gov.uk/media/69cd13235cf899414a0bc616/Energy_Trends_March_2026.pdf
